"","jds_id","min_width","max_width","min_height","max_height","orientation","road_type","proper_kernel","width_cat","height_cat","width","total_width","canyon_height","count_of_roads"
"68",68,10,15,35,45,"SWNE",8,"Y","10-15","35-45",6.3,12.3,39.0576923076923,52
"69",69,10,15,45,500,"EW",5,"N","10-15","45-500",6.3,12.3,77.2575757575758,66
"70",70,10,15,45,500,"NS",6,"N","10-15","45-500",6.3,12.3,70.9782608695652,46
"71",71,10,15,45,500,"SENW",7,"N","10-15","45-500",6.3,12.3,79.6153846153846,39
"72",72,10,15,45,500,"SWNE",8,"N","10-15","45-500",6.3,12.3,82.3611111111111,36
"73",73,15,20,0,0,"EW",73,"y","15-20","0-0",9.14711538461538,15.9377403846154,0,208
"74",74,15,20,0,0,"NS",73,"y","15-20","0-0",9.41420454545455,15.9829545454545,0,176
"75",75,15,20,0,0,"SENW",73,"y","15-20","0-0",9.27818181818182,16.0581818181818,0,165
"76",76,15,20,0,0,"SWNE",73,"y","15-20","0-0",9.38262032085562,15.9561497326203,0,187
"77",77,15,20,0,10,"EW",74,"y","15-20","0-10",7.74602977667494,16.1411910669975,6.86848635235732,403
"78",78,15,20,0,10,"NS",74,"y","15-20","0-10",8.02307692307692,16.0193732193732,6.55555555555556,351
"79",79,15,20,0,10,"SENW",74,"y","15-20","0-10",7.45405405405405,16.1809309309309,6.7957957957958,333
"80",80,15,20,0,10,"SWNE",74,"y","15-20","0-10",8.15084745762712,16.0292372881356,6.74858757062147,354
"81",81,15,20,10,15,"EW",29,"Y","15-20","10-15",8.73947368421052,16.0296992481203,12.7368421052632,133
"82",82,15,20,10,15,"NS",30,"Y","15-20","10-15",9.33849557522124,16.4141592920354,12.7079646017699,113
"83",83,15,20,10,15,"SENW",31,"Y","15-20","10-15",8.52554347826087,16.3907608695652,12.7717391304348,92
"84",84,15,20,10,15,"SWNE",32,"Y","15-20","10-15",9.09,16.1114285714286,12.447619047619,105
"85",85,15,20,15,20,"EW",33,"Y","15-20","15-20",9.34838709677419,16.616935483871,17.8064516129032,62
"86",86,15,20,15,20,"NS",34,"Y","15-20","15-20",9.072,16.502,17.62,50
"87",87,15,20,15,20,"SENW",35,"Y","15-20","15-20",8.4,16.0206666666667,17.84,75
"88",88,15,20,15,20,"SWNE",36,"Y","15-20","15-20",8.484,16.2,17.7466666666667,75
"89",89,15,20,20,25,"EW",37,"Y","15-20","20-25",9.45,16.75,23,22
"90",90,15,20,20,25,"NS",38,"Y","15-20","20-25",8.89875,16.32875,22.75,40
"91",91,15,20,20,25,"SENW",39,"Y","15-20","20-25",9.27972972972973,16.0527027027027,23.2162162162162,37
"92",92,15,20,20,25,"SWNE",40,"Y","15-20","20-25",9.07941176470588,15.9205882352941,22.8823529411765,17
"93",93,15,20,25,30,"EW",37,"N","15-20","25-30",8.6625,16.45,27.75,12
"94",94,15,20,25,30,"NS",38,"N","15-20","25-30",9.702,16.274,27.36,25
"95",95,15,20,25,30,"SENW",39,"N","15-20","25-30",9.03913043478261,15.6608695652174,27.8260869565217,23
"96",96,15,20,25,30,"SWNE",40,"N","15-20","25-30",9.82058823529412,17.0823529411765,27.8235294117647,17
"97",97,15,20,30,35,"EW",37,"N","15-20","30-35",9.1875,16.975,32.5833333333333,12
"98",98,15,20,30,35,"NS",38,"N","15-20","30-35",9.275,16.0694444444444,32.5555555555556,18
"99",99,15,20,30,35,"SENW",39,"N","15-20","30-35",9.45,16.7117647058824,33.4705882352941,17
"100",100,15,20,30,35,"SWNE",40,"N","15-20","30-35",9.45,15.45,32,10
"101",101,15,20,35,45,"EW",37,"N","15-20","35-45",8.775,16.8178571428571,38.2142857142857,14
"102",102,15,20,35,45,"NS",38,"N","15-20","35-45",9.84375,16.7375,39,8
"103",103,15,20,35,45,"SENW",39,"N","15-20","35-45",9.45,16.1,39.5454545454545,11
"104",104,15,20,35,45,"SWNE",40,"N","15-20","35-45",8.48076923076923,16.6807692307692,38.7692307692308,13
"105",105,15,20,45,500,"EW",37,"N","15-20","45-500",8.4,16.7833333333333,53.75,12
"106",106,15,20,45,500,"NS",38,"N","15-20","45-500",5.985,16.275,58,10
"107",107,15,20,45,500,"SENW",39,"N","15-20","45-500",5.85,15.9357142857143,52.8571428571429,7
"108",108,15,20,45,500,"SWNE",40,"N","15-20","45-500",6.3,15.875,57.8,10
"109",109,20,25,0,0,"EW",73,"y","20-25","0-0",6.56846590909091,22.5758522727273,0,176
"110",110,20,25,0,0,"NS",73,"y","20-25","0-0",7.25561797752809,22.5140449438202,0,89
"111",111,20,25,0,0,"SENW",73,"y","20-25","0-0",6.71386861313869,22.5627737226277,0,137
"112",112,20,25,0,0,"SWNE",73,"y","20-25","0-0",6.67058823529412,22.5666666666667,0,102
"113",113,20,25,0,10,"EW",74,"y","20-25","0-10",6.36798561151079,22.5938848920863,6.36834532374101,695
"114",114,20,25,0,10,"NS",74,"y","20-25","0-10",6.531,22.6021111111111,6.08222222222222,450
"115",115,20,25,0,10,"SENW",74,"y","20-25","0-10",6.42732864674868,22.6006151142355,6.32688927943761,569
"116",116,20,25,0,10,"SWNE",74,"y","20-25","0-10",6.54230769230769,22.5782051282051,6.30966469428008,507
"117",117,20,25,10,15,"EW",41,"Y","20-25","10-15",6.54230769230769,22.5782051282051,12.7371794871795,156
"118",118,20,25,10,15,"NS",42,"Y","20-25","10-15",6.63510638297872,22.6063829787234,12.9255319148936,94
"119",119,20,25,10,15,"SENW",43,"Y","20-25","10-15",6.66346153846154,22.5673076923077,12.8173076923077,104
"120",120,20,25,10,15,"SWNE",44,"Y","20-25","10-15",6.48529411764706,22.5833333333333,12.6960784313725,102
"121",121,20,25,15,20,"EW",45,"Y","20-25","15-20",6.53333333333333,22.579012345679,17.6296296296296,81
"122",122,20,25,15,20,"NS",46,"Y","20-25","15-20",6.81081081081081,22.5540540540541,17.2432432432432,37
"123",123,20,25,15,20,"SENW",47,"Y","20-25","15-20",7.45808823529412,22.6977941176471,17.8529411764706,68
"124",124,20,25,15,20,"SWNE",48,"Y","20-25","15-20",6.70212765957447,22.563829787234,17.8510638297872,47
"125",125,20,25,20,25,"EW",49,"Y","20-25","20-25",6.49285714285714,22.5826530612245,22.7551020408163,49
"126",126,20,25,20,25,"NS",50,"Y","20-25","20-25",6.3,22.6,23.6153846153846,13
"127",127,20,25,20,25,"SENW",51,"Y","20-25","20-25",6.3,22.6,22.3333333333333,30
"128",128,20,25,20,25,"SWNE",52,"Y","20-25","20-25",6.3,22.6,23.3448275862069,29
"129",129,20,25,25,30,"EW",53,"Y","20-25","25-30",6.3,22.6,27.7647058823529,34
"130",130,20,25,25,30,"NS",54,"Y","20-25","25-30",6.3,22.6,27.25,8
"131",131,20,25,25,30,"SENW",55,"Y","20-25","25-30",7.58863636363636,22.4840909090909,27.9545454545455,22
"132",132,20,25,25,30,"SWNE",56,"Y","20-25","25-30",6.3,22.6,28.1363636363636,22
"133",133,20,25,30,35,"EW",53,"N","20-25","30-35",6.3,22.6,33.1052631578947,19
"134",134,20,25,30,35,"NS",54,"N","20-25","30-35",7.15909090909091,22.5227272727273,33.1818181818182,11
"135",135,20,25,30,35,"SENW",55,"N","20-25","30-35",7.39038461538462,22.5019230769231,32.8076923076923,26
"136",136,20,25,30,35,"SWNE",56,"N","20-25","30-35",7.0875,22.5291666666667,32.6666666666667,12
"137",137,20,25,35,45,"EW",53,"N","20-25","35-45",6.3,22.6,40.3478260869565,23
"138",138,20,25,35,45,"NS",54,"N","20-25","35-45",6.3,22.6,39.9545454545455,22
"139",139,20,25,35,45,"SENW",55,"N","20-25","35-45",6.3,22.6,40.1764705882353,17
"140",140,20,25,35,45,"SWNE",56,"N","20-25","35-45",6.3,22.6,40,12
"141",141,20,25,45,500,"EW",53,"N","20-25","45-500",6.489,22.583,62.54,50
"142",142,20,25,45,500,"NS",54,"N","20-25","45-500",6.3,22.6,65.2105263157895,19
"143",143,20,25,45,500,"SENW",55,"N","20-25","45-500",6.65,22.5685185185185,65.2592592592593,27
"144",144,20,25,45,500,"SWNE",56,"N","20-25","45-500",6.58636363636364,22.5742424242424,71.1212121212121,33
"145",145,25,30,0,0,"EW",73,"y","25-30","0-0",9.45,28.9,0,116
"146",146,25,30,0,0,"NS",73,"y","25-30","0-0",9.45,28.9,0,47
"147",147,25,30,0,0,"SENW",73,"y","25-30","0-0",9.45,28.9,0,81
"148",148,25,30,0,0,"SWNE",73,"y","25-30","0-0",9.45,28.9,0,69
"149",149,25,30,0,10,"EW",74,"y","25-30","0-10",9.45,28.9,6.42982456140351,570
"150",150,25,30,0,10,"NS",74,"y","25-30","0-10",9.45,28.9,6.4,425
"151",151,25,30,0,10,"SENW",74,"y","25-30","0-10",9.45,28.9,6.72303206997085,343
"152",152,25,30,0,10,"SWNE",74,"y","25-30","0-10",9.45,28.9,6.65776699029126,412
"153",153,25,30,10,15,"EW",57,"Y","25-30","10-15",9.45,28.9,12.8872549019608,204
"154",154,25,30,10,15,"NS",58,"Y","25-30","10-15",9.45,28.9,12.9036144578313,83
"155",155,25,30,10,15,"SENW",59,"Y","25-30","10-15",9.45,28.9,13.2446808510638,94
"156",156,25,30,10,15,"SWNE",60,"Y","25-30","10-15",9.45,28.9,12.8346456692913,127
"157",157,25,30,15,20,"EW",61,"Y","25-30","15-20",9.45,28.9,18.0786516853933,89
"158",158,25,30,15,20,"NS",62,"Y","25-30","15-20",9.45,28.9,17.9846153846154,65
"159",159,25,30,15,20,"SENW",63,"Y","25-30","15-20",9.45,28.9,17.52,50
"160",160,25,30,15,20,"SWNE",64,"Y","25-30","15-20",9.45,28.9,17.56,75
"161",161,25,30,20,25,"EW",65,"Y","25-30","20-25",9.45,28.9,23.2666666666667,45
"162",162,25,30,20,25,"NS",66,"Y","25-30","20-25",9.45,28.9,22.6585365853659,41
"163",163,25,30,20,25,"SENW",67,"Y","25-30","20-25",9.45,28.9,22.7627118644068,59
"164",164,25,30,20,25,"SWNE",68,"Y","25-30","20-25",9.45,28.9,23.3333333333333,27
"165",165,25,30,25,30,"EW",69,"Y","25-30","25-30",9.45,28.9,28,31
"166",166,25,30,25,30,"NS",70,"Y","25-30","25-30",9.45,28.9,27.0740740740741,27
"167",167,25,30,25,30,"SENW",71,"Y","25-30","25-30",9.45,28.9,27.5161290322581,31
"168",168,25,30,25,30,"SWNE",72,"Y","25-30","25-30",9.45,28.9,27.5882352941176,17
"169",169,25,30,30,35,"EW",69,"N","25-30","30-35",9.45,28.9,32.46875,32
"170",170,25,30,30,35,"NS",70,"N","25-30","30-35",9.45,28.9,32.6666666666667,15
"171",171,25,30,30,35,"SENW",71,"N","25-30","30-35",9.45,28.9,32.72,25
"172",172,25,30,30,35,"SWNE",72,"N","25-30","30-35",9.45,28.9,33,13
"173",173,25,30,35,45,"EW",69,"N","25-30","35-45",9.45,28.9,40,21
"174",174,25,30,35,45,"NS",70,"N","25-30","35-45",9.45,28.9,41.4545454545455,11
"175",175,25,30,35,45,"SENW",71,"N","25-30","35-45",9.45,28.9,40.0909090909091,22
"176",176,25,30,35,45,"SWNE",72,"N","25-30","35-45",9.45,28.9,39.1363636363636,22
"177",177,25,30,45,500,"EW",69,"N","25-30","45-500",9.45,28.9,76.1621621621622,37
"178",178,25,30,45,500,"NS",70,"N","25-30","45-500",9.45,28.9,69.3157894736842,19
"179",179,25,30,45,500,"SENW",71,"N","25-30","45-500",9.45,28.9,73.4782608695652,23
"180",180,25,30,45,500,"SWNE",72,"N","25-30","45-500",9.45,28.9,69.7555555555556,45
"181",181,30,100,0,0,"EW",73,"y","30-100","0-0",13.608,37.216,0,25
"182",182,30,100,0,0,"NS",73,"y","30-100","0-0",13.5775862068966,37.1551724137931,0,29
"183",183,30,100,0,0,"SENW",73,"y","30-100","0-0",12.8423076923077,35.6846153846154,0,13
"184",184,30,100,0,0,"SWNE",73,"y","30-100","0-0",12.6,35.2,0,8
"185",185,30,100,0,10,"EW",74,"y","30-100","0-10",13.16,36.1037037037037,5.6962962962963,135
"186",186,30,100,0,10,"NS",74,"y","30-100","0-10",13.23984375,36.4796875,5.515625,128
"187",187,30,100,0,10,"SENW",74,"y","30-100","0-10",13.0442307692308,36.0884615384615,5.38461538461539,156
"188",188,30,100,0,10,"SWNE",74,"y","30-100","0-10",13.3815789473684,36.7631578947368,5.78195488721805,133
"189",189,30,100,10,15,"EW",57,"N","30-100","10-15",13.3875,36.775,12.4375,16
"190",190,30,100,10,15,"NS",58,"N","30-100","10-15",14.91,39.82,12.4,15
"191",191,30,100,10,15,"SENW",59,"N","30-100","10-15",12.6,35.2,12.5,4
"192",192,30,100,10,15,"SWNE",60,"N","30-100","10-15",12.6,35.2,12.6923076923077,13
"193",193,30,100,15,20,"EW",61,"N","30-100","15-20",13.7454545454545,37.4909090909091,17.1818181818182,11
"194",194,30,100,15,20,"NS",62,"N","30-100","15-20",14.8909090909091,39.7818181818182,17,11
"195",195,30,100,15,20,"SENW",63,"N","30-100","15-20",12.99375,35.9875,17.5,8
"196",196,30,100,15,20,"SWNE",64,"N","30-100","15-20",13.545,37.09,18.3,10
"197",197,30,100,20,25,"EW",65,"N","30-100","20-25",13.78125,37.5625,23,8
"198",198,30,100,20,25,"NS",66,"N","30-100","20-25",13.3875,36.775,22,4
"199",199,30,100,20,25,"SENW",67,"N","30-100","20-25",12.6,35.2,21,1
"200",200,30,100,20,25,"SWNE",68,"N","30-100","20-25",12.6,35.2,22.6666666666667,3
"201",201,30,100,25,30,"EW",69,"N","30-100","25-30",13.125,36.25,27,6
"202",202,30,100,25,30,"NS",70,"N","30-100","25-30",13.125,36.25,28,6
"203",203,30,100,25,30,"SENW",71,"N","30-100","25-30",12.6,35.2,26,2
"204",204,30,100,25,30,"SWNE",72,"N","30-100","25-30",12.6,35.2,29.3333333333333,3
"205",205,30,100,30,35,"EW",69,"N","30-100","30-35",14.56875,39.1375,34.375,8
"206",206,30,100,30,35,"NS",70,"N","30-100","30-35",13.05,36.1,32.8571428571429,7
"207",207,30,100,30,35,"SENW",71,"N","30-100","30-35",14.9625,39.925,32.5,4
"208",208,30,100,30,35,"SWNE",72,"N","30-100","30-35",12.6,35.2,33,1
"209",209,30,100,35,45,"EW",69,"N","30-100","35-45",16.8,43.6,37.3333333333333,3
"210",210,30,100,35,45,"NS",70,"N","30-100","35-45",14.49,38.98,38.6,5
"211",211,30,100,35,45,"SENW",71,"N","30-100","35-45",12.6,35.2,39.6,5
"212",212,30,100,35,45,"SWNE",72,"N","30-100","35-45",15.225,40.45,43.6666666666667,6
"213",213,30,100,45,500,"EW",69,"N","30-100","45-500",12.6,35.2,49.5,2
"214",214,30,100,45,500,"NS",70,"N","30-100","45-500",12.6,35.2,68,5
"215",215,30,100,45,500,"SENW",71,"N","30-100","45-500",12.6,35.2,67.6666666666667,3
"216",216,30,100,45,500,"SWNE",72,"N","30-100","45-500",13.65,37.3,53.6666666666667,3
