osm_id,oneway,lanes,road_type,half_of_one,total_width,non_zero_means,classification,DotRef,DotRef_Lts,width
2876904,None,2,primary,None,12.30,27.90,3b,7671,DotRef,6.30
2898480,None,1,primary,None,9.15,0.00,5,47730,DotRef,3.15
2903909,None,2,primary,None,12.30,7.20,6,26145,DotRef,6.30
2903911,None,2,primary,None,12.30,11.10,3a,16140,DotRef,6.30
2903915,None,2,primary,None,12.30,8.70,6,6151,DotRef,6.30
2936250,None,2,primary,None,12.30,7.00,6,7540,DotRef,6.30
2937348,None,2,primary,None,12.30,7.80,6,27582,DotRef,6.30
2951968,None,2,primary,None,12.30,8.50,6,56661,DotRef,6.30
2953302,None,6,primary,None,24.90,7.70,6,58200,DotRef,18.90
2953567,None,4,primary,None,18.60,22.20,2b,7717,DotRef,12.60
2953571,None,2,primary,None,12.30,6.80,6,7801,DotRef,6.30
2954273,None,2,primary,None,12.30,0.00,5,2954273,primary,6.30
2954290,None,2,primary,None,12.30,0.00,5,36826,DotRef,6.30
2954295,None,2,primary,None,12.30,7.40,6,16767,DotRef,6.30
2954297,None,2,primary,None,12.30,8.40,6,942264,DotRef,6.30
2954311,no,2,primary,None,12.30,0.00,5,7549,DotRef,6.30
2954316,None,2,primary,None,12.30,6.80,6,6773,DotRef,6.30
2954442,None,2,primary,None,12.30,0.00,5,2954442,primary,6.30
2954452,no,2,primary,None,12.30,7.00,6,48550,DotRef,6.30
2954453,None,2,primary,None,12.30,0.00,5,38568,DotRef,6.30
2954454,None,2,primary,None,12.30,6.70,6,17522,DotRef,6.30
2954609,None,2,primary,None,12.30,9.30,6,46805,DotRef,6.30
2954717,None,2,primary,None,12.30,6.80,6,16755,DotRef,6.30
2954918,None,2,primary,None,12.30,0.00,5,2954918,primary,6.30
2955023,None,2,primary,None,12.30,0.00,5,2955023,primary,6.30
2955342,None,2,primary,None,12.30,7.20,6,46836,DotRef,6.30
2955343,None,2,primary,None,12.30,8.00,6,36826,DotRef,6.30
2955469,None,2,primary,None,12.30,0.00,5,47610,DotRef,6.30
2956006,None,2,primary,None,12.30,0.00,5,46798,DotRef,6.30
2956008,None,2,primary,None,12.30,6.70,6,46798,DotRef,6.30
2956407,None,2,primary,None,12.30,0.00,5,2956407,primary,6.30
2956408,None,2,primary,None,12.30,0.00,5,2956408,primary,6.30
2956801,None,2,primary,None,12.30,9.10,6,17523,DotRef,6.30
2956802,None,2,primary,None,12.30,6.30,6,2006,Lts,6.30
2956803,None,2,primary,None,12.30,6.60,6,17523,DotRef,6.30
2959844,None,2,primary,None,12.30,6.60,6,47097,DotRef,6.30
2959845,None,2,primary,None,12.30,None,6,47097,DotRef,6.30
2959846,None,2,primary,None,12.30,6.00,6,7065,DotRef,6.30
2959995,None,2,primary,None,12.30,0.00,5,38830,DotRef,6.30
2960000,None,2,primary,None,12.30,0.00,5,58444,DotRef,6.30
2960002,None,2,primary,None,12.30,0.00,5,58444,DotRef,6.30
2960003,None,2,primary,None,12.30,0.00,5,58444,DotRef,6.30
2960004,None,2,primary,None,12.30,0.00,5,58444,DotRef,6.30
2960022,None,2,primary,None,12.30,7.90,6,16746,DotRef,6.30
2960023,None,2,primary,None,12.30,9.50,6,16746,DotRef,6.30
2960265,None,2,primary,None,12.30,5.90,6,56588,DotRef,6.30
2966047,None,1,primary,None,9.15,4.00,6,28876,DotRef,3.15
2990370,None,2,primary,None,12.30,0.00,5,2990370,primary,6.30
3030360,None,2,primary,None,12.30,0.00,5,3030360,primary,6.30
3075987,None,2,primary,None,12.30,None,6,3075987,primary,6.30
3076100,None,2,primary,None,12.30,None,6,37538,DotRef,6.30
3076611,None,2,primary,None,12.30,10.40,3a,36793,DotRef,6.30
3076852,None,2,primary,None,12.30,17.80,4a,47786,DotRef,6.30
3127699,None,2,primary,None,12.30,0.00,5,3127699,primary,6.30
3127707,None,2,primary,None,12.30,None,6,3127707,primary,6.30
3127708,None,2,primary,None,12.30,None,6,3127708,primary,6.30
3127709,None,2,primary,None,12.30,None,6,3127709,primary,6.30
3127710,None,2,primary,None,12.30,None,6,3127710,primary,6.30
3127740,None,3,primary,None,15.45,15.80,3a,7671,DotRef,9.45
3127772,None,2,primary,None,12.30,7.00,6,7558,DotRef,6.30
3127921,None,2,primary,None,12.30,6.20,6,48153,DotRef,6.30
3178746,None,2,primary,None,12.30,10.10,4a,37775,DotRef,6.30
3186736,None,2,primary,None,12.30,5.60,6,17017,DotRef,6.30
3186737,None,2,primary,None,12.30,0.00,5,17017,DotRef,6.30
3186740,None,2,primary,None,12.30,0.00,5,17017,DotRef,6.30
3186911,None,1,primary,None,9.15,0.00,5,37122,DotRef,3.15
